sample_id,condition,replicate,assay,mark,biosample_accession,study_accession,bioproject_accession
WT_rep1_H3K56ac,WT,1,CHIP,H3K56ac,SAMC2383116,HRA003336,PRJCA012536
WT_rep2_H3K56ac,WT,2,CHIP,H3K56ac,SAMC2383120,HRA003336,PRJCA012536
SIRT1_rep1_H3K56ac,SIRT1,1,CHIP,H3K56ac,SAMC2383064,HRA003336,PRJCA012536
SIRT1_rep2_H3K56ac,SIRT1,2,CHIP,H3K56ac,SAMC2383066,HRA003336,PRJCA012536
SIRT2_rep1_H3K56ac,SIRT2,1,CHIP,H3K56ac,SAMC2383070,HRA003336,PRJCA012536
SIRT2_rep2_H3K56ac,SIRT2,2,CHIP,H3K56ac,SAMC2383075,HRA003336,PRJCA012536
SIRT3_rep1_H3K56ac,SIRT3,1,CHIP,H3K56ac,SAMC2383081,HRA003336,PRJCA012536
SIRT3_rep2_H3K56ac,SIRT3,2,CHIP,H3K56ac,SAMC2383084,HRA003336,PRJCA012536
SIRT4_rep1_H3K56ac,SIRT4,1,CHIP,H3K56ac,SAMC2383087,HRA003336,PRJCA012536
SIRT4_rep2_H3K56ac,SIRT4,2,CHIP,H3K56ac,SAMC2383090,HRA003336,PRJCA012536
SIRT5_rep1_H3K56ac,SIRT5,1,CHIP,H3K56ac,SAMC2383094,HRA003336,PRJCA012536
SIRT5_rep2_H3K56ac,SIRT5,2,CHIP,H3K56ac,SAMC2383097,HRA003336,PRJCA012536
SIRT6_rep1_H3K56ac,SIRT6,1,CHIP,H3K56ac,SAMC2383101,HRA003336,PRJCA012536
SIRT6_rep2_H3K56ac,SIRT6,2,CHIP,H3K56ac,SAMC2383105,HRA003336,PRJCA012536
SIRT7_rep1_H3K56ac,SIRT7,1,CHIP,H3K56ac,SAMC2383109,HRA003336,PRJCA012536
SIRT7_rep2_H3K56ac,SIRT7,2,CHIP,H3K56ac,SAMC2383113,HRA003336,PRJCA012536
WT_rep1_H3K9ac,WT,1,CHIP,H3K9ac,SAMC2383179,HRA003336,PRJCA012536
WT_rep2_H3K9ac,WT,2,CHIP,H3K9ac,SAMC2383183,HRA003336,PRJCA012536
SIRT1_rep1_H3K9ac,SIRT1,1,CHIP,H3K9ac,SAMC2383123,HRA003336,PRJCA012536
SIRT1_rep2_H3K9ac,SIRT1,2,CHIP,H3K9ac,SAMC2383128,HRA003336,PRJCA012536
SIRT2_rep1_H3K9ac,SIRT2,1,CHIP,H3K9ac,SAMC2383132,HRA003336,PRJCA012536
SIRT2_rep2_H3K9ac,SIRT2,2,CHIP,H3K9ac,SAMC2383137,HRA003336,PRJCA012536
SIRT3_rep1_H3K9ac,SIRT3,1,CHIP,H3K9ac,SAMC2383139,HRA003336,PRJCA012536
SIRT3_rep2_H3K9ac,SIRT3,2,CHIP,H3K9ac,SAMC2383144,HRA003336,PRJCA012536
SIRT4_rep1_H3K9ac,SIRT4,1,CHIP,H3K9ac,SAMC2383148,HRA003336,PRJCA012536
SIRT4_rep2_H3K9ac,SIRT4,2,CHIP,H3K9ac,SAMC2383153,HRA003336,PRJCA012536
SIRT5_rep1_H3K9ac,SIRT5,1,CHIP,H3K9ac,SAMC2383156,HRA003336,PRJCA012536
SIRT5_rep2_H3K9ac,SIRT5,2,CHIP,H3K9ac,SAMC2383158,HRA003336,PRJCA012536
SIRT6_rep1_H3K9ac,SIRT6,1,CHIP,H3K9ac,SAMC2383162,HRA003336,PRJCA012536
SIRT6_rep2_H3K9ac,SIRT6,2,CHIP,H3K9ac,SAMC2383167,HRA003336,PRJCA012536
SIRT7_rep1_H3K9ac,SIRT7,1,CHIP,H3K9ac,SAMC2383172,HRA003336,PRJCA012536
SIRT7_rep2_H3K9ac,SIRT7,2,CHIP,H3K9ac,SAMC2383175,HRA003336,PRJCA012536
WT_rep1_WGBS,WT,1,WGBS,,SAMC2383601,HRA003336,PRJCA012536
WT_rep2_WGBS,WT,2,WGBS,,SAMC2383605,HRA003336,PRJCA012536
SIRT1_rep1_WGBS,SIRT1,1,WGBS,,SAMC2383550,HRA003336,PRJCA012536
SIRT1_rep2_WGBS,SIRT1,2,WGBS,,SAMC2383553,HRA003336,PRJCA012536
SIRT2_rep1_WGBS,SIRT2,1,WGBS,,SAMC2383557,HRA003336,PRJCA012536
SIRT2_rep2_WGBS,SIRT2,2,WGBS,,SAMC2383561,HRA003336,PRJCA012536
SIRT3_rep1_WGBS,SIRT3,1,WGBS,,SAMC2383565,HRA003336,PRJCA012536
SIRT3_rep2_WGBS,SIRT3,2,WGBS,,SAMC2383569,HRA003336,PRJCA012536
SIRT4_rep1_WGBS,SIRT4,1,WGBS,,SAMC2383572,HRA003336,PRJCA012536
SIRT4_rep2_WGBS,SIRT4,2,WGBS,,SAMC2383576,HRA003336,PRJCA012536
SIRT5_rep1_WGBS,SIRT5,1,WGBS,,SAMC2383580,HRA003336,PRJCA012536
SIRT5_rep2_WGBS,SIRT5,2,WGBS,,SAMC2383584,HRA003336,PRJCA012536
SIRT6_rep1_WGBS,SIRT6,1,WGBS,,SAMC2383588,HRA003336,PRJCA012536
SIRT6_rep2_WGBS,SIRT6,2,WGBS,,SAMC2383591,HRA003336,PRJCA012536
SIRT7_rep1_WGBS,SIRT7,1,WGBS,,SAMC2383595,HRA003336,PRJCA012536
SIRT7_rep2_WGBS,SIRT7,2,WGBS,,SAMC2383598,HRA003336,PRJCA012536
